duplicate_group_id,group_key,linked_business_candidate,evidence_drive_file_ids,artifact_types,phones,emails,websites,final_filenames
menu-evidence-group-0092,email:teddyspassuo.boxllc@gmail.com,LawDog Cafe,14lFrtkmHHe0yihkVTJvQE4mgS2ajXTHe|1Hxmdcl4t3-1FQ2V6JMQI3cev6n7pzfaU,profile,850-565-1583,Teddyspassuo.boxllc@gmail.com,,LawDog Cafe.PNG
menu-evidence-group-0093,phone:386-205-3600,2.4K followers 298 following,1lxDrUPoHP2ENuIU_-h7lRq-6kg7UbAs7|1VamTjxlAV4GtWadq6DhjoWfdWAP4rdLL,menu,386-205-3600,,,Catering.PNG
menu-evidence-group-0094,website:instagram.com/goldenshallotusa,Golden Shallot,1gaMrdxJUH37o63rmtQ53ElCiRFeHEqoT|1ACkZfly2ctFnRANSH2ihO475kEmE_K0l,profile,,,instagram.com/GoldenShallotUSA,Golden Shallot.PNG
menu-evidence-group-0095,social:@is,Food truck Bi-Bip,1J02OaAElf8EINcMtXIeg5LSOhN3E1g46|1Pcbo3NyUkUNooi-R2hehRKpWpgYvfwAr|1-lehU1JNjBhAbUVcYmohdc3PkkLoOXf2,profile,,,,Food truck Bi-Bip.PNG|Bodegon Sabor Latino.PNG
menu-evidence-group-0096,email:info@obriensbistro.net,O'Brien's Bistro,1Br8rsRtQV5wVL1UFVu3TbaXzQ2647Trd|1fSxYoYNH9fH5IvojsqZUD_iMFspz_3df,possible_menu,850-477-9120,info@obriensbistro.net,obriensbistro.net,obriensbistro.net.PNG
menu-evidence-group-0097,name:follow call now,Follow & Call now,1U9QIkRUH1s2MlKATlu5e6nxPpMmf_Hh2|1i6gINMCSvnUiDJO1b6B3YmP61XA5fz6-,menu,,,,Follow & Call now.PNG
menu-evidence-group-0098,phone:850-285-0763,Lou's Pizza Shop,1jpnDBF5oFhufWoXu0YXW8xU9b1zkzLsc|110rkTNlcdRUm_-loVOXIsqs-BPQhBn5g,menu,850-285-0763,,,Lou's Pizza Shop.PNG
menu-evidence-group-0099,phone:260-515-8561,Sweetness,1jG3A75Cnak5W5RefqG_Ld0u62MSG6_EY|1w79b2yxEOZ_npyrcHTDC222FIuhpwpld,possible_menu,260-515-8561,,,Sweetness.PNG
menu-evidence-group-0100,email:cejodogsllc@gmail.com,Céjo Food Truck,1q-lDPmv7aC9eH4fJ35M1RgLEmRwu2GtC|1vrIjDbzSPV_d8-6U4pjgZiGejYeMyRJJ,possible_menu,850-382-1279,Cejodogsllc@gmail.com,instagram.com/cejodogsllc,Céjo Food Truck.PNG
menu-evidence-group-0101,email:thebrunchybunchfl@gmail.com,The Brunchy Bunch Food Truck,1Eihcl2tj9BnSE1l84PUe1DBxHrDFtTGl|1fnaQBXtqxs-MfdwEO8s-QO1eDZx0D8ff,menu,239-443-7104,Thebrunchybunchfl@gmail.com,instagram.com/Thebrunchybunchfl,The Brunchy Bunch Food Truck.PNG
menu-evidence-group-0102,name:roofing,ROOFING,19zMHJgmFHh3a_gKGDz_ZqxHay3uOSJJK|1ydt4ittivlxCcNdpQGkYs10GnHcRr6TH|146wxOlM9JV1pmvxBRatBJLw58q1QnC4H,unknown,,,,ROOFING.JPG
menu-evidence-group-0103,phone:850-520-2674,"Paradise Flooring & Design,... + Qn",1orDeOCK_cvSBpXBcl0f2ujAWXwmOlwPf|1yMJBhSVdijLRGnqDRgw_k1tacRcCu8hb,profile,850-520-2674,,paradiseflooringanddesign.com,Residential and commercial flooring installation.PNG|FLOORING & DESIGN LLC.PNG
menu-evidence-group-0104,email:joel@sammybarkers.com,Sammy Barker's,14OlaZ1kXjs2LKv3d43JWhuBh6zEY_EgZ|1GT-FKCxhSow9sQnSRYrLFFUFwPadSSNr,profile,850-912-6000,joel@sammybarkers.com,,Sammy Barker's.PNG
menu-evidence-group-0105,phone:458-262-8021,Yoda's Hut,1P5ivE5uB1xlI_9xobBcUVf7eL9XDVEAA|1-GAwDri_6a2dzyM_vfLOFJi05uxDzqSC,menu,458-262-8021,,,Yoda's Hut.PNG
menu-evidence-group-0106,email:alan@aramgastronomy.com,A-Ram's Kitchen,1zOs9FlButCtPe-zK4c08YfN7VN6isBnY|1PL-nxSvkKViDUPLWz4zVS1oAKPRXIV2T,menu,,alan@aramgastronomy.com,instagram.com/aramskitchen,A-Ram's Kitchen.PNG
menu-evidence-group-0107,email:downtowndessertbar@gmail.com,Downtown Dessert Bar,1N58SdQnMeWK2sIQyXdK_F5n5p2o8QSEU|1gganrHFNa-koF1JRyxe31-hZZCzyJPHJ,menu,,downtowndessertbar@gmail.com,,Downtown Dessert Bar.PNG
menu-evidence-group-0108,name:greazy burger,Greazy Burger,1EFu4wObynbhRDuzXqqRYtNEkLSh0CaOK|1ZoOqI5draj9cfT7fA2GB0DjtEdmD-GXZ,menu,,,,Greazy Burger.PNG
menu-evidence-group-0109,email:redwhiteandburgers904@gmail.com,Red White & Burgers,1z3EjBIULYtxcYbBB-FMlhEaZGCGqAqvr|1H85AW0kLDK4pwNbMbB1jzC1x8T7M3pzL,menu,,Redwhiteandburgers904@gmail.com,,Red White & Burgers.PNG
menu-evidence-group-0110,email:justeggrolls885@gmail.com,Sun's Just Egg Rolls,1IRmjrhByQtQAY4uBD7g2cvSI1QfxB2Ff|1djb2XlcfxH8bPiPPrVbzDwt3QtE5hW1y,profile,833-337-2823,Justeggrolls885@gmail.com,streetfoodfinder.com/sunsjusteggrolls,sauce. It's a delight in every bite..PNG
menu-evidence-group-0111,name:taqueria latinos,Taqueria Latinos,1y1NCSBkWF42cH6gc1syoMyAm6hdn_TLR|1vxS8O2vNnirPnVDwNBm1xBompFfzq0uV,menu,,,,Taqueria Latinos.PNG
menu-evidence-group-0112,phone:850-480-9314,Tasty 8 Cre8tions,1oEhMcuhmdJ6gLYv6ZlliYYlq9eiPghS3|1u-iUkPUicEocU_kusLb4wYKYYaIJ8P_L|1A4xyvZ3IR4LqD5jdchwYuHQCnS0WzDhS,profile,850-480-9314,,,serve with 8 toppings to choose from.PNG|Tasty 8 Cre8tions.PNG
menu-evidence-group-0113,email:themobilesweettooth@gmail.com,MOBILE,1KneV7XyVQ7aAEA6XuRJ6Khd49cpks4pA|1rnaCTb85H4J3njTMldAGB0J5JEiMzzDY,profile,317-740-4112,Themobilesweettooth@gmail.com,,The Mobile Sweet Tooth.PNG
menu-evidence-group-0114,email:info@toryskitchen.com,Tory's Kitchen,1rNKXhhFd4DpoBw6GjstZ_YlDvBRsJRS7|1vR0j_kDBPzh5Zl3rMWCQRY40nNZGQcKe,profile,813-255-3556,Info@toryskitchen.com,Toryskitchen.com,Tory's Kitchen.PNG
menu-evidence-group-0115,name:vietnamese,Vietnamese Food Truck,1um9YUUJJgDu72kuBCzv_760DVRli-ZNb|1zEFdeA2sv66gKmlHOwnshtocu3v3cp7E,possible_menu,,,,Vietnamese Food Truck.PNG
menu-evidence-group-0116,phone:912-980-6296,"V's Kitchen, Jamaican style",1ZyZq3NGrM9KeuMAi_3GWsfID8Ke_Pfez|1DA8RzYZKWundhmAsu5JBTM0FSneJOy-8,profile,912-980-6296,,,"V's Kitchen, Jamaican style.PNG"
menu-evidence-group-0117,email:perezguttruck@gmail.com,The Perez Gut Truck,1XTfEcISFLJ5dlcVhE5tBK57MWBQlIzM8|1CclALUo9_vC1cDjVryK0RfdI1eyKmyO6,profile,813-716-5780,perezguttruck@gmail.com,perezguttruck.com,The Perez Gut Truck.PNG
menu-evidence-group-0118,email:dafrytrap@gmail.com,Da Fry Trap,1Mkn0SyzIygA-4C8tBqSVrT3Tgv8ao0lS|18goaNJoGmiKHYqH7mH3kgqCw_ZBow_hq,profile,850-503-8346,dafrytrap@gmail.com,,Da Fry Trap.PNG
menu-evidence-group-0119,email:info@bbgandjerk.com,Big Boned BBQ & Jerk,1mn7Sp8QA32M1uycvMOZJcFNSPNcgSZU0|1Ey_bZ0vHIZIUhK6ao1Ju7whyq7RyFbtx,menu,770-310-0583,Info@bbgandjerk.com,,Big Boned BBQ & Jerk.PNG
menu-evidence-group-0120,email:eltavichefoodtruck@google.com,El Taviche,1oU3Z4hLuQX9UtYbiwZVPwxjm89-v2kaQ|1mpaIRcCyk4cFC3sUyh8m4GcK164Q0yFt,menu,863-219-7577,eltavichefoodtruck@google.com,ElTaviche.com,El Taviche.PNG
menu-evidence-group-0121,phone:601-916-9151,Pretzels LLC,1B0dXVM2qslvPpND4LVztg84-N3GnbwoF|1K5PFW9EpXFxdcn4e1uG9yVl3EYiby7hz|1vA5BWhlpx6Lkc_cd1cAZNCefNPLbEPxr,menu,601-916-9151,,,Pretzels LLC.PNG
menu-evidence-group-0122,name:tap the coast,Tap the Coast @,100eyueRLlptTjbO0Xssx33--mx-AjFOD|1Pj49dQA8nS_E92agR0N7mbk-Z_4s7xRm,profile,,,,Follow Book now.PNG
menu-evidence-group-0123,phone:251-716-8824,El secreto de.un gran platillay,1DlfOpcoAGA7zO0DQcj2jTDafPpSwR_13|1PSbrk4Qcqy8kkMSJr2Lr5f96gZitwPz7,possible_menu,251-716-8824,,,El secreto de.un gran platillay.PNG
menu-evidence-group-0124,email:booking@trapdawg.com,Trap Dawg,15eBSlDRiALHVt0Pf53Ak_cggcjK2MToy|1FfxP01G10Dl551O7hEGkYgXljmsnf_gq,profile,,booking@trapdawg.com,trapdawg.com,Trap Dawg.PNG
menu-evidence-group-0125,email:deepbluefoodtruck@yahoo.com,The Deep Blue Seafood “Truck”,1XeVJRYK3IDvLvGq4BqeAHDmViW7KolQx|1Z5G3tfLAALuLnsy8u1a5Cv9K264Lw_Vc,menu,850-602-1610,Deepbluefoodtruck@yahoo.com,instagram.com/,Follow @ Message.PNG
menu-evidence-group-0126,email:twisted.coconutllc25@gmail.com,The Twisted Coconut,13XOE0h2lLQTzEoly4qz-POYPJWlPtlQS|1szsDPetJ212Mo0_HYdZjgvXEW6tcUKfn,menu,,Twisted.coconutllc25@gmail.com,https://linktr.ee/twisted.coconut,The Twisted Coconut.PNG
menu-evidence-group-0127,email:thelittlebakeryshoppellc@gmail.com,"The Little Bakery Shoppe, LLC",1D4ER10fE2xAzwQCrecsDeSlZ3LF5fdTA|1-fUi7upDAThorvq-_c8JsJmZiqviQ4Lk,profile,850-889-1662,thelittlebakeryshoppellc@gmail.com,,"The Little Bakery Shoppe, LLC.PNG"
menu-evidence-group-0128,email:jokersbbq850@gmail.com,The Smokin' Jokers BBQ,1njNEkvZQJlldUP1rpqXCBaHWSfiuWxCN|12BSqSO47bXEzz_NIo7mJsXHM3GRrt1xp|1SXZACiNQyA1NWGy_3yU5c6djkdFVfRFr,menu,850-266-8163,jokersbbq850@gmail.com,thesmokinjokers.com,The Smokin' Jokers BBQ.PNG|The Smokin' Jokers BB.PNG
menu-evidence-group-0129,email:go91yum@outlook.com,91YUM,1EY_37H_obMC8lZ2U9Q-4-S6MZ46r7YjV|18nEaa7KqVvsMMXCu6YMwH3Fm2J_6rgki,profile,865-337-9028,Go91yum@outlook.com,https://www.instagram.com/9.1.yum?,91YUM.PNG
menu-evidence-group-0130,email:taliascookies@gmail.com,PUM VV wWwVYVNAIVvYW,1fTjERWLw23xE14qBVNrx6kWKbPHsvabK|19wePy2v51iYOjtTOCKes6loOZ5vTwQsE,possible_menu,,TaliasCookies@gmail.com,TaliasCookies.com,PUM VV wWwVYVNAIVvYW.PNG
menu-evidence-group-0131,email:mannkettlecorn@gmail.com,MANN Kettle Corn 2,1MteEYZxSUfaJ_G1fnQqt2JxXc4FG0QDJ|1BEMK9jttoTih17k__zrc5NNMHEZEi_1U|1yoE8Ivz-rUSpovrH6MPQvOn9FYT8-5Ps,menu,228-623-9469,Mannkettlecorn@gmail.com,,MANN Kettle Corn 2.PNG
menu-evidence-group-0132,name:sofia s tacos,Sofia's Tacos,1z-yAyeaDgqzvg89Kv6d1SqfM6vCBHFTy|1_dpsC2f1iGpvLm7y26sLOcPKRvv5PxLU,menu,,,,Sofia's Tacos.PNG
menu-evidence-group-0133,phone:850-554-6735,Jen's Macarons,1s2X76jsddmFSpdotc1cUS6MZD04h1rTM|1C31SRnxl_WW4tPGCPBYS-TdeWRSLayhC,profile,850-554-6735,,,Follow @ Message.PNG
menu-evidence-group-0134,email:pensacola@vampirepenguinnwfl.com,Vampire Penguin Pensacola,1J0wW-fnMAzcwhyz4bFrMUu6GmRi5F1V1|11GxArSFTY_NwpwvQ_0oKwA7I2vF6vAzh,profile,850-377-4139,pensacola@vampirepenguinnwfl.com,,Vampire Penguin Pensacola.PNG
menu-evidence-group-0135,email:bamcoffeeco@gmail.com,BAM Coffee,1gcc9dJ_gIrAT9movfqtQ3BLaf_MDbOKe|1XKyG3hUeS95_gDFcXOGdgdM1Eb97LeW_,menu,850-490-4233,BAMCOFFEECO@GMAIL.COM,,BAM Coffee.PNG
menu-evidence-group-0136,phone:850-495-0267,Comida Argentina Pensacola,1JWY0AYcLJKuJoPIvNtsM2XOAmlIdGoKm|1T8Q-EbkpJIe-glL3JNFrnnhbWNPyAaip,profile,850-495-0267,,,Comida Argentina Pensacola.PNG
menu-evidence-group-0137,website:chefgirlrdee.com,Chefgirlrdee,1u-HbKphl23pzm8NUs47zOASNPJ72nMtI|1IDBW6w37YwJ40mbP-tE6WEQs-qF63E7c,profile,,,chefgirlrdee.com,Book now.PNG
menu-evidence-group-0138,phone:863-450-2866,Pop's Seafood and Produce Lic,1hP_911N-aLSeOyX_FjdFciUQ8apz3ZLp|1n5xV88MVO5NsOtiiRWbcRuI88i5Gxoe5,profile,863-450-2866,,HTTPS://WWW.POPSSEAFOODLAKELAND.COM,Pop's Seafood and Produce Lic.PNG
menu-evidence-group-0139,email:siestaflurries@yahoo.com,Siesta Flurries,1zMHQW7_nX8vPMllcaCILtgWMEavRObid|1QVE25Sz7kb7ht2YkQz3uupKvN4IQvFZS,profile,941-661-3291,siestaflurries@yahoo.com,,Siesta Flurries.PNG
menu-evidence-group-0140,email:libbylanoue@gmail.com,Sip N Snack Shack,1Ij6rQrTuiSJXA9LvA6wWLj2VoQew6aDR|1YHb2h1iEoCOxuQ_ZhS46OS0rOIiWjad9,profile,941-354-9719,libbylanoue@gmail.com,,Sip N Snack Shack.PNG
menu-evidence-group-0141,email:sergiomora77@icloud.com,Calle Cuba,13eF0emBXubiINaipRM9iEBe2EnYOPI7O|13JiKwXUDeYy_OHVll_7e7ynNLyNe2kB9,possible_menu,850-736-6960,sergiomora77@icloud.com,,Follow @ Message.PNG
menu-evidence-group-0142,email:ladylolallc11@gmail.com,Lady Lola Food Truck,1No3WUQGp24zp99BXpnqaB4-rC4l2cAW2|1QVzckE1z1VaL69g0TQYQR8dvizJOYo9L,profile,941-667-1005,ladylolallc11@gmail.com,instagram.com/Ladylola.foodtruck,Lady Lola Food Truck.PNG
menu-evidence-group-0143,email:loveburgerbox@gmail.com,Burger Box,1BkJ2j7LaTn7V1epmyfjgJartOtNhX571|1bg4YMhJz4Y5diNNyemGVHzxRL4jRIm4K,menu,228-281-4384,loveburgerbox@gmail.com,loveburgerbox.com,Burger Box.PNG
menu-evidence-group-0144,email:snjslilc@yahoo.com,Pino island,1ul1l7avJDQ4_0IXkO091LyK1xO3U2xFu|1Jo2bD8z9Q5LvRbKNKBkqG978LV8H3h5n,menu,,snjslilc@yahoo.com,,Yummy Sammy and delicious Nachos.PNG
menu-evidence-group-0145,email:zahzahexpress@gmail.com,ZahZah Express LLC,14nsOgVBrSQofy7UHPoRfYJGG7QWgMait|1EI9YmYgIVDNRaKYA-Lb-4qfwXvAjY6I4,profile,346-550-2185,zahzahexpress@gmail.com,instagram.com/ZahZah%20Express,ZahZah Express LLC.PNG
